T,equ_sweeps,meas_sweeps,n_meas
4.0,10000,1000,10
3.0,10000,1000,10
2.6,10000,1000,10
2.58,10000,1000,10
2.56,10000,1000,10
2.54,10000,1000,10
2.52,10000,1000,10
2.5,10000,1000,10
2.48,10000,1000,10
2.46,10000,1000,10
2.44,10000,1000,10
2.42,10000,1000,10
2.4,10000,1000,10
2.38,10000,1000,10
2.36,10000,1000,10
2.34,10000,1000,10
2.32,10000,1000,10
2.3,10000,1000,10
2.28,10000,1000,10
2.26,10000,1000,10
2.24,10000,1000,10
2.22,10000,1000,10
2.2,10000,1000,10
2.18,10000,1000,10
2.16,10000,1000,10
2.14,10000,1000,10
2.12,10000,1000,10
2.1,10000,1000,10
2.08,10000,1000,10
2.06,10000,1000,10
2.04,10000,1000,10
2.02,10000,1000,10
2.0,10000,1000,10
1.8,10000,1000,10
1.6,10000,1000,10
1.4,10000,1000,10
1.2,10000,1000,10
1.0,10000,1000,10
